code,kline_time,open,high,low,close,volume,amount
000852.SH,2024-01-02,5891.1741,5891.2271,5854.5922,5854.7494,128377670,141351641579
000852.SH,2024-01-03,5838.5529,5861.4108,5785.2515,5824.0428,119248925,131179260680
000852.SH,2024-01-04,5814.9372,5814.9372,5753.4666,5783.0155,102952534,112642946169
000852.SH,2024-01-05,5779.7567,5796.759,5652.1261,5675.8091,119205197,126682946916
000852.SH,2024-01-08,5664.4526,5664.4526,5543.5745,5543.5745,110512726,112633892924
000852.SH,2024-01-09,5553.1836,5607.2178,5513.1298,5553.3035,110223223,114678407169
000852.SH,2024-01-10,5540.6641,5580.4191,5462.3615,5512.0686,106499446,108158125143
000852.SH,2024-01-11,5507.803,5634.0247,5502.2938,5611.1149,124717749,123635425166
000852.SH,2024-01-12,5601.0976,5646.2716,5574.4084,5574.4926,121066881,118289969742
000852.SH,2024-01-15,5558.1481,5607.1342,5520.363,5559.376,108667184,107428092792
000852.SH,2024-01-16,5555.0003,5566.2102,5463.2948,5539.4741,116803108,113669505608
000852.SH,2024-01-17,5529.8946,5529.8946,5389.1216,5389.1216,104037354,104138700026
000852.SH,2024-01-18,5360.2062,5375.2344,5214.8994,5373.4239,148711036,142966452446
000852.SH,2024-01-19,5364.807,5395.1373,5304.9599,5306.9862,106431086,109174686371
000852.SH,2024-01-22,5298.3136,5298.3136,4970.1979,5000.8336,144252512,139600818351
000852.SH,2024-01-23,4992.7924,5102.4428,4939.5196,5079.6315,130288241,124162903226
000852.SH,2024-01-24,5102.8249,5151.4231,4951.9007,5143.4078,143326441,135222048613
000852.SH,2024-01-25,5143.2892,5316.2611,5112.5353,5316.195,163144917,158319218894
000852.SH,2024-01-26,5303.961,5352.8464,5253.3165,5269.7646,155415661,150031258107
000852.SH,2024-01-29,5282.8174,5301.8708,5131.2465,5131.2465,150000892,141294666661
000852.SH,2024-01-30,5099.587,5144.2936,4978.9095,4984.6598,125015069,117586947100
000852.SH,2024-01-31,4949.188,4986.1016,4775.6227,4785.032,158237155,139299752958
000852.SH,2024-02-01,4753.6393,4858.7154,4684.4734,4750.4439,147115516,129099528518
000852.SH,2024-02-02,4753.668,4802.6191,4431.8151,4574.6692,176885435,150000797614
000852.SH,2024-02-05,4534.7524,4534.7524,4177.9428,4293.0695,211274330,166206907857
000852.SH,2024-02-06,4229.7937,4641.4545,4192.9652,4592.4444,210187410,169330958130
000852.SH,2024-02-07,4604.1217,4848.2363,4599.3511,4797.8456,216213317,188713236491
000852.SH,2024-02-08,4826.1434,5067.2281,4826.1434,4993.1046,217620059,192261800168
000852.SH,2024-02-19,5062.6847,5071.1997,4950.3279,5029.5861,203870996,185885021627
000852.SH,2024-02-20,5004.4203,5058.2174,4950.3943,5046.0121,154344285,151079011056
000852.SH,2024-02-21,5001.6567,5208.6485,4974.0762,5073.4821,193280527,178053450105
000852.SH,2024-02-22,5075.4319,5152.0243,5066.0027,5151.5343,153064295,146838694830
000852.SH,2024-02-23,5169.0132,5225.6697,5114.1452,5225.6697,171213693,167541135856
000852.SH,2024-02-26,5234.8052,5325.7702,5201.1251,5255.3962,184471643,180222595495
000852.SH,2024-02-27,5237.1053,5394.0342,5218.5861,5394.0342,182622372,183476438078
000852.SH,2024-02-28,5403.4963,5478.0858,5152.0519,5152.0519,260742382,251859520937
000852.SH,2024-02-29,5122.1798,5344.6052,5122.1798,5344.6052,188036238,185219961181
000852.SH,2024-03-01,5354.7305,5411.3228,5322.0862,5401.9394,184436487,196339349955
000852.SH,2024-03-04,5412.9077,5429.8009,5332.238,5428.3356,179308205,199765408572
000852.SH,2024-03-05,5392.8771,5417.8157,5337.6652,5375.1317,174166911,196428311575
000852.SH,2024-03-06,5346.0794,5434.4015,5306.4561,5381.4587,154684371,164978930227
000852.SH,2024-03-07,5389.9887,5430.3924,5303.2766,5303.2766,161023860,167524667896
000852.SH,2024-03-08,5309.5935,5386.1757,5283.1463,5370.3719,139130895,147532325483
000852.SH,2024-03-11,5358.8369,5466.6455,5350.2919,5466.6455,164133442,175152725407
000852.SH,2024-03-12,5477.1313,5524.5045,5443.9649,5496.3553,183984140,198909272334
000852.SH,2024-03-13,5501.5856,5561.0818,5476.7856,5521.7838,181270807,200355388366
000852.SH,2024-03-14,5521.7162,5546.1031,5433.2076,5486.6461,168948172,184410019586
000852.SH,2024-03-15,5472.8927,5555.6442,5459.3173,5555.6442,161095841,171573287270
000852.SH,2024-03-18,5573.9273,5648.0117,5559.0524,5648.0117,193419517,212069710000
000852.SH,2024-03-19,5633.5043,5660.5021,5607.2555,5607.4754,181118096,202358294570
000852.SH,2024-03-20,5600.1245,5663.738,5600.1245,5659.1539,179307654,199862431481
