code,kline_time,open,high,low,close,volume,amount
000852.SH,2024-01-02 09:30:00,5891.1741,5891.2271,5858.2195,5882.2582,61204372,67557701514
000852.SH,2024-01-02 10:30:00,5883.1837,5890.1078,5870.493,5881.315,21419688,23590126693
000852.SH,2024-01-02 13:00:00,5883.0066,5890.7099,5879.0902,5881.7221,20269785,22244327774
000852.SH,2024-01-02 14:00:00,5881.4638,5882.1353,5854.5922,5854.7494,26329583,28856644393
000852.SH,2024-01-03 09:30:00,5838.5529,5861.4108,5823.7986,5832.4842,51843079,57674977367
000852.SH,2024-01-03 10:30:00,5832.2574,5841.3988,5791.7415,5795.0783,24804824,26992274188
000852.SH,2024-01-03 13:00:00,5796.9525,5810.7554,5786.9424,5790.1818,19769978,21958936700
000852.SH,2024-01-03 14:00:00,5790.0223,5828.5019,5785.2515,5824.0428,24068635,25820738269
000852.SH,2024-01-04 09:30:00,5814.9372,5814.9372,5777.447,5787.9284,44341773,49344364663
000852.SH,2024-01-04 10:30:00,5787.99,5788.7598,5769.0716,5778.0354,19063344,20281940782
000852.SH,2024-01-04 13:00:00,5777.0447,5790.9393,5763.0056,5766.0148,17158475,19001486794
000852.SH,2024-01-04 14:00:00,5765.8415,5788.6621,5753.4666,5783.0155,23014084,24669828368
000852.SH,2024-01-05 09:30:00,5779.7567,5796.759,5748.1922,5764.7643,46644233,50374367535
000852.SH,2024-01-05 10:30:00,5765.3794,5770.3506,5729.8611,5731.2313,22328684,23100389730
000852.SH,2024-01-05 13:00:00,5733.1399,5733.1399,5692.7795,5694.7014,21492335,22526456134
000852.SH,2024-01-05 14:00:00,5694.7917,5708.1891,5652.1261,5675.8091,29660911,31585000395
000852.SH,2024-01-08 09:30:00,5664.4526,5664.4526,5590.4951,5592.996,46573386,48334092704
000852.SH,2024-01-08 10:30:00,5593.1787,5614.3508,5584.046,5593.8786,18801797,19522545807
000852.SH,2024-01-08 13:00:00,5593.45,5597.6292,5561.8809,5565.0005,17008169,17523981019
000852.SH,2024-01-08 14:00:00,5565.1326,5597.1529,5543.5745,5543.5745,28751580,27897451720
000852.SH,2024-01-09 09:30:00,5553.1836,5601.493,5542.4676,5593.1042,47787358,50407298163
000852.SH,2024-01-09 10:30:00,5593.1466,5607.2178,5558.3331,5566.5545,19811919,20302384609
000852.SH,2024-01-09 13:00:00,5565.6977,5567.0422,5515.5452,5516.5231,20113224,21590291733
000852.SH,2024-01-09 14:00:00,5516.0473,5558.5816,5513.1298,5553.3035,23229891,23078082763
000852.SH,2024-01-10 09:30:00,5540.6641,5575.5924,5462.3615,5554.6516,56834159,55286298996
000852.SH,2024-01-10 10:30:00,5554.7431,5580.4191,5536.295,5541.0266,15533662,16587034981
000852.SH,2024-01-10 13:00:00,5540.4313,5548.063,5520.5676,5547.803,14664180,15217434256
000852.SH,2024-01-10 14:00:00,5547.5909,5548.0943,5512.0686,5512.0686,20042148,21594395839
000852.SH,2024-01-11 09:30:00,5507.803,5572.5958,5502.2938,5551.4062,49414196,48164712452
000852.SH,2024-01-11 10:30:00,5551.4737,5560.2649,5535.5768,5556.4308,19122425,17010383445
000852.SH,2024-01-11 13:00:00,5554.7146,5634.0247,5554.7146,5623.6503,34241342,35399957400
000852.SH,2024-01-11 14:00:00,5623.8077,5623.8077,5594.7637,5611.1149,22677370,23707206704
000852.SH,2024-01-12 09:30:00,5601.0976,5646.2716,5595.3773,5640.9328,56806393,54592366604
000852.SH,2024-01-12 10:30:00,5640.9854,5646.2532,5595.5661,5595.5661,24436158,23312473099
000852.SH,2024-01-12 13:00:00,5598.4207,5604.178,5577.1043,5585.0494,18354549,18608461092
000852.SH,2024-01-12 14:00:00,5585.0987,5599.3033,5574.4084,5574.4926,22747619,22966657071
000852.SH,2024-01-15 09:30:00,5558.1481,5595.8627,5520.363,5594.8524,51368282,51479689054
000852.SH,2024-01-15 10:30:00,5595.1592,5607.1342,5570.668,5579.6805,20415711,19546327953
000852.SH,2024-01-15 13:00:00,5582.2216,5582.5651,5557.5592,5563.7067,16423367,16513049683
000852.SH,2024-01-15 14:00:00,5563.715,5567.1774,5553.8094,5559.376,21214380,20588277294
